Name,Wins,Losses,Draws,Height,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Marcus Aurelio,22,10,0,70.0,"74""",1.42,33%,2.27,59%,1.69,27%,27%,1.3
Warlley Alves,15,8,0,71.0,"72""",3.04,48%,3.95,50%,1.22,50%,62%,0.8
Rico Altamirano,4,3,0,70.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chris Avila,5,4,0,70.0,--,2.37,30%,4.17,48%,0.00,0%,46%,0.0
Alex Andrade,10,5,0,71.0,--,0.20,36%,2.60,53%,0.00,0%,25%,0.8
Bazigit Atajev,17,1,0,73.0,--,0.87,41%,3.14,49%,1.00,33%,0%,0.0
Bekzat Almakhan,12,2,0,67.0,"68""",0.68,40%,4.29,32%,0.00,0%,0%,0.0
Lucas Almeida,15,4,0,71.0,"71""",4.94,39%,5.04,44%,0.00,0%,53%,0.0
Jaqueline Amorim,10,1,0,63.0,"68""",2.68,53%,1.43,64%,2.22,37%,0%,4.8
Andy Anderson,0,1,0,66.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danny Abbadi,4,6,0,71.0,--,3.29,38%,4.41,57%,0.00,0%,77%,0.0
Alice Ardelean,10,7,0,63.0,"62""",6.73,44%,5.04,57%,1.00,50%,87%,0.0
Hamdy Abdelwahab,6,1,0 (1 NC),74.0,"72""",3.49,49%,4.49,51%,1.33,66%,100%,0.0
Mike Altman,1,4,0,70.0,--,1.56,20%,2.08,75%,0.00,0%,0%,0.0
Hamid Amiri,9,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nariman Abbasov,28,4,0,68.0,"66""",3.00,20%,5.67,46%,0.00,0%,66%,0.0
Teddy Ash,14,5,0,73.0,"73""",7.27,61%,6.80,28%,0.00,0%,100%,0.0
Kenneth Alexander,7,6,0 (1 NC),69.0,--,0.88,19%,2.20,66%,4.71,26%,0%,0.0
Felipe Arantes,18,10,1 (2 NC),68.0,"73""",2.37,45%,2.66,64%,0.93,47%,41%,0.7
Asjabharan,7,6,0,66.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
